	mu	var	coef
peak40375	2.0449760548917624	0.02178306990865265	-0.04695558386916018
peak40939	2.7610740981207127	0.027464084744701283	-1.7937844134390273
peak41075	2.1127535901376113	0.055601725456471504	0.6505153709774164
peak41110	1.539796029337445	0.05267534922311996	-0.1139624561502026
peak41122	2.732833015598983	0.028547886286163927	0.3958474338554626
peak41311	1.3139920500118345	0.09511885402311512	0.12189396782500134
peak41427	1.5393049321746397	0.04679145803967368	-0.09599380368908601
peak41840	2.0826133112996668	0.023740751963196874	0.012044082558751643
peak41842	1.7025975083478306	0.06021472345370116	-0.0005836204509919935
peak42467	1.5410723922266576	0.095881232196692	-0.35234475398686543
peak43507	1.232127056777994	0.05976215219727365	0.10934177864045162
peak44293	1.1952543196082548	0.07265320787619893	-0.0027133339954957545
peak44667	1.633919991633054	0.0880111030772982	0.06445245277183514
peak44693	1.7290549255117547	0.03252680975465194	0.0870983462767959
peak44832	3.5559123623105537	0.02100883316573987	-0.009667615667025727
peak45712	2.0581670525986757	0.033641783335915235	0.29133670675521894
peak45978	1.9892381657303653	0.05803742768520384	-0.046416401115691217
peak46269	1.378380559333145	0.06245800535449722	0.1669952716849804
peak46539	2.1663536124783	0.02413955784096502	-0.041549523679044215
peak46556	2.28342374006001	0.03530472988320687	-0.03357785058738284
peak46880	1.9042443747848896	0.03747065617596861	0.0797778831545717
peak47077	2.106592101602357	0.028822468679423615	0.14534631528551967
peak47136	2.4450641825293986	0.028376740946259662	-0.00299613060093487
peak49609	2.577506961196637	0.017377995385783603	-0.001243916979919685
peak49810	1.8558673719504624	0.045957745485995176	-0.6752048636320312
peak49872	2.619247686263661	0.02163595167022172	-0.09987394822159826
peak51749	1.2234586235475782	0.0724500893803567	-0.06469992430099207
peak51776	1.6405183165953257	0.10117788627993833	0.01652509565675381
peak52969	2.31621755976001	0.0243835929596229	0.0132620552016351
peak53164	1.9138466147598336	0.0801937135589715	1.1476178495767364
peak53337	1.6460876238163977	0.09995694714032047	0.8825822672050554
peak53353	1.7354740548285978	0.2103442675950375	-0.13343067563534378
peak53395	1.4533700220663908	0.0431898702767643	0.14314589293690305
peak53679	1.9229719226453261	0.03784259582545265	-0.07191334089422423
peak54203	1.8371720353861485	0.06927504984365404	0.1524602193453065
peak54735	1.324520043916162	0.08386949778884957	0.032371794261099006
peak54784	2.268922806506677	0.022203386822212165	0.0009472993094587389
peak55501	1.9027661258156559	0.07022141677671717	0.009607402996216907
peak55502	2.345528290510624	0.026892866095485437	0.12212341474848767
peak55982	3.0834505724164445	0.018774698568563276	0.0054715215628675495
peak55983	3.3279028887092696	0.05006964679554959	0.06284844323297967
peak56167	2.3736018799555705	0.028765637277536553	0.11189615051719061
peak56942	1.579002931466101	0.15767640343783462	0.025462310320885737
peak57747	1.3138745380189774	0.05849907068512656	-0.004251761863217091
peak57797	1.4247493455528522	0.05269887957696837	0.10815651319399719
peak58541	2.3978299632697846	0.021514858257521648	0.00039689834115724234
peak58992	1.421743862245158	0.06812646042930902	0.010438074714498107
peak59708	1.5364802765775545	0.17863171191226648	-0.0673513006043833
peak60162	1.7013943841439803	0.05121318119345002	-0.11215835072695486
peak60418	2.046274769053201	0.033681340236110455	0.7197413334918684
peak60716	1.2462733914672537	0.05945772558712591	0.13665656839854262
peak60780	2.0271906757277014	0.01858752595591813	0.037399913867668645
peak60781	1.9539298314699056	0.028361658209900116	0.05480511367658948
peak61148	1.6783422604250566	0.0676096392855949	0.1223163019878259
